crop_path,original_image,class_id,class_name,confidence,prompt
MarineExplainAI/crops/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d_crab_0.jpg,brackish_dataset/test/images/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d.jpg,0,crab,0.8331,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'crab'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d_crab_0.jpg
Original full image path: brackish_dataset/test/images/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d_crab_1.jpg,brackish_dataset/test/images/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d.jpg,0,crab,0.9623,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'crab'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d_crab_1.jpg
Original full image path: brackish_dataset/test/images/2019-03-06_22-12-29to2019-03-06_22-12-37_1-0020_jpg.rf.e87cf9dfc173132d6275ea6902b1125d.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_crab_2.jpg,brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,0,crab,0.8853,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'crab'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_crab_2.jpg
Original full image path: brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_crab_3.jpg,brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,0,crab,0.8911,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'crab'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_crab_3.jpg
Original full image path: brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_crab_4.jpg,brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,0,crab,0.9336,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'crab'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_crab_4.jpg
Original full image path: brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_starfish_5.jpg,brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg,5,starfish,0.9337,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'starfish'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77_starfish_5.jpg
Original full image path: brackish_dataset/test/images/2019-02-22_22-31-28to2019-02-22_22-31-38_1-0021_jpg.rf.483b9e7c33fffaca54c2733d39019d77.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a_fish_6.jpg,brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg,1,fish,0.8034,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'fish'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a_fish_6.jpg
Original full image path: brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a_crab_7.jpg,brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg,0,crab,0.8793,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'crab'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a_crab_7.jpg
Original full image path: brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a_crab_8.jpg,brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg,0,crab,0.9114,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'crab'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a_crab_8.jpg
Original full image path: brackish_dataset/test/images/2019-03-06_22-03-36to2019-03-06_22-04-08_1-0293_jpg.rf.667ff524f370509055adac8a88299d4a.jpg
Answer in 1-2 sentences."
MarineExplainAI/crops/2019-03-20_20-08-39to2019-03-20_20-08-48_1-0005_jpg.rf.9d47460df25aa846f6a023532abea3df_starfish_9.jpg,brackish_dataset/test/images/2019-03-20_20-08-39to2019-03-20_20-08-48_1-0005_jpg.rf.9d47460df25aa846f6a023532abea3df.jpg,5,starfish,0.7314,"You are a marine biology visual expert.
Based on the cropped object image and the full scene image, explain why this object is likely classified as a 'starfish'.
Consider visual traits (e.g., color, texture, shape), its environment (e.g., murky water, sand), and anything else in the scene.
Cropped image path: MarineExplainAI/crops/2019-03-20_20-08-39to2019-03-20_20-08-48_1-0005_jpg.rf.9d47460df25aa846f6a023532abea3df_starfish_9.jpg
Original full image path: brackish_dataset/test/images/2019-03-20_20-08-39to2019-03-20_20-08-48_1-0005_jpg.rf.9d47460df25aa846f6a023532abea3df.jpg
Answer in 1-2 sentences."
